Product_ID,Date,Sales,Revenue,EndOfDayStock,prev_stock
10125,2009-12-04,46,39.1,21,67.0
10138,2009-12-02,96,40.32,22,1936.0
10138,2009-12-03,35,14.7,12,22.0
10138,2009-12-04,12,5.04,0,12.0
10138,2009-12-07,12,5.04,0,12.0
10138,2010-01-15,12,5.04,1,0.0
10138,2010-01-17,1,0.42,0,1.0
10138,2010-02-03,12,5.04,0,12.0
10138,2010-02-19,12,5.04,1,0.0
10138,2010-03-24,1,0.42,0,1.0
10138,2010-03-29,12,5.04,6,0.0
10138,2010-04-01,6,2.52,0,6.0
10138,2010-04-20,12,5.04,0,0.0
16044,2010-01-21,6144,368.64,48,4982.0
16044,2010-02-18,48,20.16,0,48.0
16046,2010-08-09,4608,368.64,3,4323.0
16046,2010-08-31,3,2.55,0,3.0
16046,2010-09-27,4608,368.64,0,4608.0
16046,2010-10-12,10,8.5,4,0.0
16046,2010-10-18,4,3.4,0,4.0
16046,2010-10-20,2,1.7,1,0.0
16046,2010-10-22,1,0.85,0,1.0
16046,2010-10-26,12,10.2,0,12.0
16046,2010-10-28,96,18.24,1,0.0
16046,2010-10-31,1,0.85,0,1.0
16046,2010-11-10,71,60.35,0,71.0
16046,2010-11-24,6,5.1,2,0.0
16046,2010-12-02,2,1.7,0,2.0
16046,2010-12-10,9,7.65,4,0.0
16046,2011-02-02,4,3.4,0,4.0
16046,2011-03-17,9,7.65,2,0.0
16046,2011-04-08,2,1.7,0,2.0
16046,2011-05-17,3,2.55,0,3.0
16046,2011-08-24,25,21.25,0,25.0
16046,2011-08-31,6,5.1,3,0.0
16046,2011-10-23,3,2.55,0,3.0
16046,2011-11-28,2,1.7,0,0.0
16048,2010-09-27,768,92.16,359,1127.0
16048,2011-03-31,96,11.52,23,119.0
16048,2011-04-27,96,11.52,24,23.0
16048,2011-05-08,24,10.08,0,24.0
16048,2011-06-16,144,17.28,0,144.0
16048,2011-06-27,96,11.52,0,96.0
16048,2011-07-14,48,5.76,0,48.0
16048,2011-07-18,24,2.88,0,24.0
16048,2011-08-11,48,5.76,0,48.0
16048,2011-08-16,24,2.88,0,24.0
16048,2011-08-25,24,2.88,0,24.0
16048,2011-08-31,24,2.88,0,24.0
16048,2011-09-05,48,5.76,24,0.0
16048,2011-09-09,24,2.88,0,24.0
16048,2011-09-27,48,5.76,24,0.0
16048,2011-09-29,24,2.88,0,24.0
16048,2011-10-05,24,2.88,7,0.0
16048,2011-10-09,7,0.84,0,7.0
16048,2011-10-10,48,5.76,24,0.0
16048,2011-10-17,24,2.88,0,24.0
16048,2011-10-20,25,3.0,0,25.0
16048,2011-10-30,72,8.64,24,0.0
16048,2011-11-01,24,2.88,0,24.0
16048,2011-11-14,24,2.88,0,24.0
16048,2011-11-15,2,0.24,1,0.0
16048,2011-11-18,1,0.12,0,1.0
16048,2011-11-25,24,2.88,0,24.0
16237,2010-12-02,720,115.2,6,341.0
16237,2010-12-03,6,1.26,0,6.0
16237,2010-12-08,120,25.2,0,120.0
16237,2010-12-09,16,3.36,11,0.0
16237,2010-12-10,11,2.31,0,11.0
16237,2010-12-15,30,6.3,0,30.0
16237,2011-01-06,90,18.9,3,0.0
16237,2011-01-07,3,0.63,0,3.0
16237,2011-01-10,120,20.7,90,0.0
16237,2011-01-18,90,14.4,0,90.0
16237,2011-01-25,30,6.3,0,30.0
16237,2011-01-27,83,17.43,6,0.0
16237,2011-02-02,6,1.26,0,6.0
16237,2011-02-08,30,6.3,0,30.0
16237,2011-02-15,45,9.45,0,45.0
16237,2011-03-03,30,6.3,0,30.0
16237,2011-03-07,36,7.56,0,36.0
16237,2011-03-11,30,6.3,0,30.0
16237,2011-03-17,90,18.9,0,90.0
16237,2011-03-22,30,6.3,0,30.0
16237,2011-03-23,180,28.8,60,0.0
16237,2011-03-29,60,12.6,0,60.0
16237,2011-04-04,60,12.6,0,60.0
16237,2011-04-08,30,6.3,0,30.0
16237,2011-04-15,30,6.3,0,30.0
16237,2011-05-03,30,6.3,0,30.0
